"loc04_id";"loc04_loc03_id";"loc04_nam";"loc04_code";"x";"y"
445;107;"KOBLENZ";"DEB11";3398714.47369;5579945.29596
446;107;"AHRWEILER";"DEB12";3361508.28229;5594270.56431
447;107;"ALTENKIRCHEN (WESTERWALD)";"DEB13";3411420.67653;5624449.00096
448;107;"BAD KREUZNACH";"DEB14";3405505.64573;5521717.17413
449;107;"BIRKENFELD";"DEB15";3376325.56476;5509845.86966
450;107;"COCHEM-ZELL";"DEB16";3370128.45021;5556795.87209
451;107;"MAYEN-KOBLENZ";"DEB17";3381322.14949;5578601.93584
452;107;"NEUWIED";"DEB18";3391622.84764;5603416.39102
453;107;"RHEIN-HUNSRUECK-KREIS";"DEB19";3392905.64479;5546262.20418
454;107;"RHEIN-LAHN-KREIS";"DEB1A";3417302.6425;5570124.18487
455;107;"WESTERWALDKREIS";"DEB1B";3419465.21229;5602151.6485
456;108;"TRIER";"DEB21";3331402.31462;5516965.96951
457;108;"BERNKASTEL-WITTLICH";"DEB22";3354393.35241;5534135.51804
458;108;"BITBURG-PRÜM";"DEB23";3314811.68353;5550783.27708
459;108;"DAUN";"DEB24";3339659.62452;5569371.37761
460;108;"TRIER-SAARBURG";"DEB25";3333957.46221;5509387.59652
461;109;"FRANKENTHAL (PFALZ)";"DEB31";3453337.33394;5488886.38712
462;109;"KAISERSLAUTERN";"DEB32";3410125.3696;5478368.01458
463;109;"LANDAU I. D. PFALZ";"DEB33";3430875.68237;5454765.62736
464;109;"LUDWIGSHAFEN";"DEB34";3456304.96857;5483290.07249
465;109;"MAINZ";"DEB35";3445027.77851;5537451.74824
466;109;"NEUSTADT A. D. WEINSTR.";"DEB36";3438218.52002;5467884.08683
467;109;"PIRMASENS";"DEB37";3397594.40977;5452458.40505
468;109;"SPEYER";"DEB38";3458819.35501;5466127.23998
469;109;"WORMS";"DEB39";3451218.63502;5501669.96096
