"s_klassen_id";"s_klasse";"s_code";"s_name";"s_bem"
150;"Komplextyp";"B";"Befestigung (Phase)";"None"
151;"Komplextyp";"E";"Einzelfunde, Streufunde (alle befundlos)";"None"
152;"Komplextyp";"G";"Grab";"None"
153;"Komplextyp";"Gb";"Brandgrab";"None"
154;"Komplextyp";"Gk";"Körpergrab";"None"
155;"Komplextyp";"S";"Siedlungsbefund";"None"
156;"Komplextyp";"Sg";"Siedlung: Grube";"None"
157;"Komplextyp";"Sh";"Siedlung: Gebäudebefund";"None"
158;"Komplextyp";"Sk";"Siedlung: Kulturschicht";"None"
159;"Komplextyp";"X";"Sonstiges";"None"
160;"Komplextyp";"u";"unbekannt";"None"
161;"Komplextyp";"0";"None";"None"
162;"Komplextyp";"0";"None";"None"
163;"Komplextyp";"0";"None";"None"
164;"Komplextyp";"0";"None";"None"
165;"Komplextyp";"0";"None";"None"
166;"Komplextyp";"0";"None";"None"
167;"Komplextyp";"0";"None";"None"
168;"Komplextyp";"0";"None";"None"
169;"Komplextyp";"0";"None";"None"
170;"Komplextyp";"0";"None";"None"
171;"Komplextyp";"0";"None";"None"
172;"Komplextyp";"0";"None";"None"
173;"Komplextyp";"0";"None";"None"
174;"Komplextyp";"0";"None";"None"
175;"Komplextyp";"0";"None";"None"
176;"Komplextyp";"0";"None";"None"
177;"Komplextyp";"0";"None";"None"
178;"Komplextyp";"0";"None";"None"
179;"Komplextyp";"0";"None";"None"
180;"Komplextyp";"0";"None";"None"
181;"Komplextyp";"0";"None";"None"
182;"Komplextyp";"0";"None";"None"
183;"Komplextyp";"0";"None";"None"
184;"Komplextyp";"0";"None";"None"
185;"Komplextyp";"0";"None";"None"
186;"Komplextyp";"0";"None";"None"
187;"Komplextyp";"0";"None";"None"
188;"Komplextyp";"0";"None";"None"
189;"Komplextyp";"0";"None";"None"
190;"Komplextyp";"0";"None";"None"
191;"Komplextyp";"0";"None";"None"
192;"Komplextyp";"0";"None";"None"
