"d_klassen_id";"d_klasse";"d_name";"d_code";"d_text_beschr";"d_text_bem";"d_text_lit";"tg"
12427;"B1128632";"Gefaess>Hochform>abgesetzter Hals>Blech u. Achse>Spitzboden>weitmundig>mittlerer Umbruch";"B1128632";"mittlerer Umbruch";"B112863";"None";"None"
12428;"B1128633";"Gefaess>Hochform>abgesetzter Hals>Blech u. Achse>Spitzboden>weitmundig>niedriger Umbruch";"B1128633";"niedriger Umbruch";"B112863";"None";"None"
12338;"B1127621";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>normalmundig>hoher Umbruch";"B1127621";"hoher Umbruch";"B112762";"None";"None"
12339;"B1127622";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>normalmundig>mittlerer Umbruch";"B1127622";"mittlerer Umbruch";"B112762";"None";"None"
12340;"B1127623";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>normalmundig>niedriger Umbruch";"B1127623";"niedriger Umbruch";"B112762";"None";"None"
12341;"B112763";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>weitmundig";"B112763";"weitmundig";"B11276";"None";"None"
12342;"B1127631";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>weitmundig>hoher Umbruch";"B1127631";"hoher Umbruch";"B112763";"None";"None"
12343;"B1127632";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>weitmundig>mittlerer Umbruch";"B1127632";"mittlerer Umbruch";"B112763";"None";"None"
12344;"B1127633";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>weitmundig>niedriger Umbruch";"B1127633";"niedriger Umbruch";"B112763";"None";"None"
12333;"B112761";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>engmundig";"B112761";"engmundig";"B11276";"None";"None"
12334;"B1127611";"Gefaess>Hochform>abgesetzter Hals>eingecknickt>Spitzboden>engmundig>hoher Umbruch";"B1127611";"hoher Umbruch";"B112761";"None";"None"
