"h_loc07_id";"form";"dmbreite";"laenge";"hoehe";"grabzahl";"steinkranz";"kreisgraben";"pfosten";"stele";"stratigraphie";"h_bem";"pfostenstellungen"
445;380;10;0;2;5;t;f;f;f;f;"1885 von K. Schips untesucht. Aufbau aus Steinen und Erde. In der Huegelschuettung fand sich eine Brandgrube. die verbrannte und teilweise verbrannte Knochen enthielt. In der W-Haelfte viele Scherben. In der Schuettung vier vermutliche Nachbestattungen.";f
470;384;0;0;0;1;f;f;f;f;f;"Der Huegel ist angetrichtert.";f
471;384;0;0;0;0;f;f;f;f;f;"leer";f
453;384;0;0;0;0;f;f;f;f;f;"leer";f
454;384;0;0;0;0;f;f;f;f;f;"leer";f
455;384;0;0;0;0;f;f;f;f;f;"leer";f
14583;384;11;0;0;0;f;f;f;f;f;"leer";f
14584;384;12;0;0;0;f;f;f;f;f;"leer";f
469;384;0;0;0;0;f;f;f;f;f;"leer";f
14580;384;11;0;0;0;f;f;f;f;f;"leer";f
14581;384;11;0;0;0;f;f;f;f;f;"leer";f
14582;384;0;0;0;0;f;f;f;f;f;"";f
508;384;0;0;0;0;f;f;f;f;f;"leer";f
507;384;0;0;0;0;f;f;f;f;f;"leer";f
515;380;36;0;4;1;f;f;f;f;f;"mindestens eine Bestattung";f
514;380;20;0;1.4;4;f;f;f;f;f;"leer";f
516;380;20;0;1.6;1;f;f;f;f;f;"mindestens eine Bestattung";f
517;380;0;0;0;1;f;f;f;f;f;"mindestens eine Bestattung";f
518;384;0;0;0;0;f;f;f;f;f;"mindestens eine Bestattung";f
16006;384;0;0;0;0;f;f;f;f;f;"";f
16211;384;0;0;0;0;f;f;f;f;f;"";f
14414;384;0;0;0;0;f;f;f;f;f;"";f
14413;384;0;0;0;0;f;f;f;f;f;"";f
14326;384;0;0;0;0;f;f;f;f;f;"";f
14327;380;15;0;0.8;0;f;f;f;f;f;"leer";f
14419;384;16;0;0.9;2;f;f;f;f;f;"leer";f
14420;384;14;0;0.44;0;f;f;f;f;f;"leer";f
14423;384;14;0;0.37;0;f;f;f;f;f;"leer";f
14424;384;14;0;0.22;0;f;f;f;f;f;"leer";f
14425;380;14;0;0.45;0;f;f;f;f;f;"leer";f
14426;380;26;0;2.6;0;f;f;f;f;f;"leer";f
14427;384;12;0;0.28;0;f;f;f;f;f;"leer";f
14428;384;9;0;0.33;0;f;f;f;f;f;"leer";f
14429;384;7.5;0;0.22;0;f;f;f;f;f;"leer";f
